Id,Title,PostedDate,PrimaryLocation,PrimaryLocationCountry,ShortDescriptionStr
225250,Support Analyst,2024-03-19T18:31:50+00:00,United States,US,Provide front-line investigation and resolution of issues identified through an in-bound call queue or ticketing system.  This position is a full-time position.
232610,Client Services Implementation Specialist - Textura,2024-03-19T15:47:49+00:00,United States,US,"Oracle Textura Payment Management (TPM) is a cloud-based software service that streamlines the construction billing and payment process. It is the first of its kind in the industry, and since 2004 has helped clients manage $1T in construction more efficiently and with less risk. TPM is offered within the Construction and Engineering Global Business Unit (CEGBU) vertical at Oracle alongside many other products that serve this fast-growing industry."
232350,Support Technician I - ONSITE,2024-03-18T11:06:10+00:00,"Odessa, TX, United States",US,"As a Support Technician you will provide routine and non-routine information gathering, technical support and maintenance for desktop, laptop, telecom, mobile devices, and network devices. This is an ONSITE position in Odessa, TX."
232391,Solution Analyst,2024-03-18T15:14:22+00:00,"Kansas City, MO, United States",US,Provide client support by performing high-level Oracle Health solution tasks and resolving application-focused issues.
232392,Solution Analyst,2024-03-18T15:21:00+00:00,"Kansas City, MO, United States",US,Provide client support by performing high-level Oracle Health solution tasks and resolving application-focused issues.
232395,Solution Analyst,2024-03-18T15:31:30+00:00,"Kansas City, MO, United States",US,Provide client support by performing high-level Oracle Health solution tasks and resolving application-focused issues.
232210,Business Development Consultant_Austin,2024-03-15T18:32:37+00:00,"Austin, TX, United States",US,First contact for prospects of Oracle business via outbound calls. Qualifies Oracle prospects and produces quality leads for the Oracle Sales Force.
224028,Software Engineer,2024-03-15T22:26:48+00:00,"Austin, TX, United States",US,"Software Engineer at Oracle Cloud Infrastructure (OCI) is a challenging role where you can make a meaningful impact. Complex and critical projects with significant technical depth.

"
217735,Applications Developer,2024-03-14T17:05:04+00:00,United States,US,"Work on Operations Team dealing with Customer Patches, Internal dev environment creation, patching and maintaining the dev codelines."
232083,Support Technician I - ONSITE,2024-03-14T21:35:19+00:00,"Winona, MN, United States",US,"As a Support Technician you will provide routine and non-routine information gathering, technical support and maintenance for desktop, laptop, telecom, mobile devices, and network devices. This is an ONSITE position in Winona, MN."
218231,"System Engineer 1, Data Protection",2024-03-12T01:58:26+00:00,"Kansas City, MO, United States",US,"Looking for a Systems Engineer (Data Protection) familiar with managing and supporting Cohesity DataProtect and Veritas NetBackup.
"
231369,Solution Analyst,2024-03-11T13:57:40+00:00,"Kansas City, MO, United States",US,Provide client support by performing high-level Oracle Health solution tasks and resolving application-focused issues.
231370,Solution Analyst,2024-03-11T14:04:10+00:00,"Kansas City, MO, United States",US,Provide client support by performing high-level Oracle Health solution tasks and resolving application-focused issues.
231371,Solution Analyst,2024-03-11T14:06:14+00:00,"Kansas City, MO, United States",US,Provide client support by performing high-level Oracle Health solution tasks and resolving application-focused issues.
231441,GenO Puerto Rico  /Pasantía Estudiantes,2024-03-11T20:44:00+00:00,Puerto Rico,PR,GenO Puerto Rico 
230628,Support Technician I ONSITE,2024-03-06T15:23:23+00:00,"Valhalla, NY, United States",US,"Come and join us in Valhalla, NY as a Support Technician and help to make a difference!  As a Support Technician I, you will provide day-to-day technical support for end user hardware and software needs and project-based support onsite in Valhalla, NY.  This is an ONSITE position."
230632,Business Development Consultant_Nashville_Summer,2024-03-06T15:54:00+00:00,"Nashville, TN, United States",US,First contact for prospects of Oracle business via outbound calls. Qualifies Oracle prospects and produces quality leads for the Oracle Sales Force.
230669,Sr Change Implementation Analyst,2024-03-06T18:40:45+00:00,"Kansas City, MO, United States",US,"The Senior Change Implementation Analyst role is a mid-level support job in Support Services, Global Services organization. This role is responsible to perform solution-related service request configuration for application maintenance."
230670,Sr Change Implementation Analyst,2024-03-06T19:00:03+00:00,"Kansas City, MO, United States",US,"The Senior Change Implementation Analyst role is a mid-level support job in Support Services, Global Services organization. This role is responsible to perform solution-related service request configuration for application maintenance."
230486,Business Development Consultant - Burlington - Summer 2024,2024-03-05T19:57:07+00:00,"Burlington, MA, United States",US,First contact for prospects of Oracle business via outbound calls. Qualifies Oracle prospects and produces quality leads for the Oracle Sales Force.
223879,Software Developer 2,2024-03-02T02:36:00+00:00,"Santa Clara, CA, United States",US,"The File Storage Service team is looking for hands-on engineers with expertise and passion in solving difficult problems in distributed systems, large-scale storage, and highly available services. If this is you, you can be part of the team that drives the best-in-class File Storage Service into the next phase of its development. These are exciting times for the service - we are growing fast and delivering innovative, enterprise-class features to satisfy our customers' most demanding file system workloads. An engineer at any level can have a significant technical and business impact."
219282,MySQL HeatWave Business Development Consultant,2024-02-27T21:13:51+00:00,"Austin, TX, United States",US,"We are looking for passionate, skilled, globally minded thinkers and doers who themselves live and breathe the online world we are serving. We are very much about technical innovation but at the end of the day our goal is financial success for all involved. At Oracle, you can advance on your career as a domain expert or as a manager and leader."
225705,Inside Sales Executive – Oracle Health,2024-02-27T19:58:36+00:00,"Kansas City, MO, United States",US,Inside Sales Executive -Oracle Health 
223982,Sr Network Reliability Engineer,2024-02-26T17:56:30+00:00,"Austin, TX, United States",US,We are looking for a strong network engineer with Network Operations and Python Development experience.
224083,Software Developer,2024-02-21T21:01:49+00:00,United States,US,Looking for a talented and passionate software engineer to join OCI Infrastructure Delivery Engineering team. The team will be responsible for building services and tools to accelerate the process by which OCI grows its compute and network capacity
228583,Biomedical Equipment Technician I ONSITE,2024-02-21T14:47:37+00:00,"Kansas City, MO, United States",US,"As a Biomedical Equipment Technician, you will be responsible for providing technical support to medical equipment users and managing medical equipment maintenance, calibration, and service onsite at a local Kansas City Hospital.  This is an ONSITE position in Kansas City."
227925,Technical Analyst 1-Support,2024-02-15T20:54:41+00:00,"Malvern, PA, United States",US,"Technical Analyst 1- Support
Malvern, PA United States

Are you a tech-savvy individual with exceptional communication skills and a talent for analyzing complex technical issues and providing effective solutions? We're looking for a Technical Support Analyst to join our team and provide top-notch technical assistance to our valued customers. "
227199,Software Development Engineer,2024-02-12T20:57:05+00:00,United States,US,"Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc."
226939,Test Engineering Software Developer,2024-02-09T20:24:36+00:00,"Santa Clara, CA, United States",US,"Looking for a test software developer to design, develop, and debug software for testing Oracle servers in high-volume manufacturing with skills: Linux, Perl, Python, shell scripting, TCL"
220630,Data Scientist - Network Capacity Planning,2024-02-08T05:16:31+00:00,"Seattle, WA, United States",US,The Network Capacity Planning & Forecasting Team is seeking a Senior Data Scientist with networking experience and solid development experience.  
226164,Global Technology Procurement Strategic Buyer Intern,2024-02-06T00:26:17+00:00,"Rocklin, CA, United States",US,"Global Technology Procurement delivers sourcing, supplier management and contract negotiation services to optimize spend and mitigate risk for Oracle. The category team provides expertise on matters related to the procurement of Technology solutions within Oracle, collaborating with internal stakeholders and suppliers to fulfill Oracle's business needs. Typical products or services included in this space are Software, Software as a Service, Hardware, Cloud Compute, and 3rd Party Technology Services."
224992,Solution Analyst,2024-01-26T17:17:34+00:00,United States,US,Provide support at client locations to perform high-level Oracle Cerner solution tasks and resolve application-focused issues.
224993,Solution Analyst,2024-01-26T17:27:53+00:00,United States,US,Provide support at client locations to perform high-level Oracle Cerner solution tasks and resolve application-focused issues.
224994,Solution Analyst,2024-01-26T17:32:31+00:00,United States,US,Provide support at client locations to perform high-level Oracle Cerner solution tasks and resolve application-focused issues.
224868,Senior Data Center Technician,2024-01-25T19:21:22+00:00,"Ashburn, VA, United States",US,"As an Oracle Data Center Senior Engineer, you will be the technical liaison between the technology teams and the Data Center Environment and will be key in maintaining the Operational run aspects. You will be supporting our growth path and will be recognized as a ‘technical expert’ with a focus on core Data Center infrastructure. You will troubleshoot and solve all but the most complex infrastructure issues."
224697,Solution Analyst,2024-01-24T19:17:48+00:00,United States,US,Provide support at client locations to perform high-level Oracle Cerner solution tasks and resolve application-focused issues.
224498,Epidemiology Internship- Summer 2024,2024-01-23T20:05:42+00:00,United States,US,"Epidemiology internship with Cerner Enviza, an Oracle Health Company. 

Seeking current MPH students with at least 1 year of degree program completed.
"
217814,Solution Analyst,2023-11-13T22:51:49+00:00,United States,US,Provide support at client locations to perform high-level Oracle Cerner solution tasks and resolve application-focused issues.
211167,Software Engineer Intern - Global Industry Unit,2023-11-01T14:50:49+00:00,United States,US,Must be enrolled in a university prior to and following internship completion.
211157,Software Engineer - Database Technologies,2023-10-31T20:59:58+00:00,United States,US,"New College Grad Role intended for current students (BS/MS/PhD): candidate will have graduated within 12 months of their actual start date (Start date for all new grad roles: Summer/ Fall 2024)

Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc."
